AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_E,AAC_Q,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V
DDE_0001,0.0642201834862385,0.0779816513761468,0.0229357798165138,0.0527522935779817,0.0229357798165138,0.0619266055045872,0.055045871559633,0.055045871559633,0.0298165137614679,0.0321100917431193,0.123853211009174,0.0619266055045872,0.018348623853211,0.0619266055045872,0.0435779816513761,0.0596330275229358,0.0711009174311927,0.00688073394495413,0.0229357798165138,0.055045871559633
DDE_0002,0.0703125,0.0442708333333333,0.0416666666666667,0.0703125,0.0130208333333333,0.0833333333333333,0.0338541666666667,0.0729166666666667,0.0130208333333333,0.0572916666666667,0.1015625,0.0546875,0.0338541666666667,0.046875,0.0364583333333333,0.0677083333333333,0.0598958333333333,0.0104166666666667,0.0416666666666667,0.046875
DDE_0003,0.0664993726474278,0.0652446675031368,0.055207026348808,0.0639899623588457,0.00501882057716437,0.0903387703889586,0.0301129234629862,0.0840652446675031,0.0213299874529486,0.0577164366373902,0.0878293601003764,0.0614805520702635,0.0213299874529486,0.0489335006273526,0.0288582183186951,0.0476787954830615,0.0476787954830615,0.00125470514429109,0.0363864491844417,0.0790464240903388
DDE_0004,0.0567200986436498,0.0875462392108508,0.0345252774352651,0.0604192355117139,0.00739827373612824,0.0863131935881628,0.0345252774352651,0.0838471023427867,0.0172626387176326,0.0665844636251541,0.0998766954377312,0.0542540073982737,0.0246609124537608,0.0295930949445129,0.0332922318125771,0.0480887792848335,0.0567200986436498,0.00246609124537608,0.0295930949445129,0.0863131935881628
DDE_0005,0.122222222222222,0.111111111111111,0.0296296296296296,0.0555555555555556,0.0185185185185185,0.0925925925925926,0.0592592592592593,0.0333333333333333,0.0259259259259259,0.0259259259259259,0.140740740740741,0.0296296296296296,0.0333333333333333,0.0148148148148148,0.0259259259259259,0.037037037037037,0.0296296296296296,0.0185185185185185,0.0518518518518519,0.0444444444444444
DDE_0009,0.117886178861789,0.0934959349593496,0.0365853658536585,0.0365853658536585,0.0121951219512195,0.0569105691056911,0.0203252032520325,0.0894308943089431,0.00813008130081301,0.024390243902439,0.117886178861789,0.032520325203252,0.032520325203252,0.0365853658536585,0.0609756097560976,0.0569105691056911,0.0203252032520325,0.032520325203252,0.0365853658536585,0.0772357723577236
DDE_0011,0.0815347721822542,0.0839328537170264,0.0215827338129496,0.052757793764988,0.0311750599520384,0.079136690647482,0.0407673860911271,0.0887290167865707,0.0143884892086331,0.0335731414868106,0.103117505995204,0.0383693045563549,0.0407673860911271,0.0407673860911271,0.0431654676258993,0.0575539568345324,0.052757793764988,0,0.026378896882494,0.0695443645083933
DDE_0012,0.0841584158415842,0.0825082508250825,0.0297029702970297,0.0693069306930693,0.00825082508250825,0.0792079207920792,0.0511551155115512,0.0643564356435644,0.0198019801980198,0.037953795379538,0.100660066006601,0.037953795379538,0.0297029702970297,0.0544554455445545,0.0511551155115512,0.0462046204620462,0.0396039603960396,0.0099009900990099,0.0297029702970297,0.0742574257425743
DDE_0013,0.0828402366863905,0.0828402366863905,0.0236686390532544,0.0946745562130177,0.029585798816568,0.0946745562130177,0.0236686390532544,0.0532544378698225,0.0177514792899408,0.0828402366863905,0.118343195266272,0.0591715976331361,0.0177514792899408,0.00591715976331361,0.029585798816568,0.0355029585798817,0.0591715976331361,0.00591715976331361,0.0236686390532544,0.0591715976331361
DDE_0014,0.13677811550152,0.0668693009118541,0.0151975683890578,0.0516717325227964,0.027355623100304,0.0668693009118541,0.027355623100304,0.0911854103343465,0.027355623100304,0.0364741641337386,0.112462006079027,0.0303951367781155,0.0364741641337386,0.0182370820668693,0.0668693009118541,0.027355623100304,0.0516717325227964,0.00911854103343465,0.0212765957446809,0.0790273556231003
